UPC,Item description,Call description,Call type,Verbatim,Ticket ID,Brand Name,MDSE category,Batch Lot,Create date,Expire date,Month,Calendar Year,Site ID,Week,State,Fiscal Year Ending,Store,City
68113138744,"Marketside Caesar Salad Kit, 11.55 oz",Product Condition,Complaint,MKS Caesar Salad Pack - lettuce is turning red.Advised of the 100% satisfaction guarantee. Advised that we will send this up to the QA team for investigation. Sent to Food Safety.Gift Card Requst Successful for $5Request #: GCR257601,190802-012307,,CSR,TFD201D1-2-09:20 162976-01,2-Aug-19,2-Aug-19,8,2019,1454,27,,2020,1454,QUINCY
68113138783,ORG SLD H&H 5.5Z TF,Foreign Objects,Complaint,"Customer stated:She has a weed in her Marketside Organic spinach and spring mix salad. This is a tiny weed that is the color of green and has a stem with prickly leaves on it, she knows this is not supposed to be in her salad and will not eat it.

Receipt: Yes

Advised customer: 100% satisfaction guarantee.
QA would be notified. Return to store for a refund or exchange.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------Please find the below information regarding Organic Salad mix that a customer recently purchased. You will also find the customer's contact information along with the product information we were able to gather. We have resolved this situation with the customer directly, however if you would like to contact them for further information, please feel free to do so (unless otherwise stated in the notes below).

Please look into this issue and respond to our Food Safety Team at FoodSafeCom@wal-mart.com for Food products or Product Safety Team (p.bps10@wal-mart.com) for Non-Food products with your resolution in a timely manner.

Should you have any questions or concerns, please reply back to this email with Private Brands in the Subject line.

Thank you for your assistance with this matter.

Customer Contact Team",190802-015189,,CSR,,2-Aug-19,,8,2019,5358,27,,2020,5358,SHIPPENSBURG
68113117949,SLD 50/50 11Z TF,Sensory Complaint,Complaint,"Customer stated:
She frequently purchases our MS salads, and often has to throw them away because it is soggy or wilted. She said that the store is getting tired of her coming back, so she thought she would call us about it.She thinks the salads have too much moisture in them, either when packed or shipped. She's even found mold on them before, but not this one.

Purchased this before?
Yes

Happened before?
Yes

Resolution:
Advised customer QA would be notified. Advised to return to store.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190802-045867,,CSR,PFRS201A15A09:57,2-Aug-19,5-Aug-19,8,2019,2508,27,,2020,2508,BOISE
68113138746,SLD FAMILY CSR TF,Product Condition,Complaint,MKS Salad - opened 3 days prior and it was bad. tried to return to the store and was denied.Item's lot code is no longer around.Advised of the 100% satisfaction guarantee. Advised that we will send this up to the QA team for investigation. Sent to Food Safety.Gift Card Request Successful for $10Request #: GCR257663,190803-019482,,CSR,,3-Aug-19,1-Aug-19,8,2019,5469,28,,2020,5469,HANOVER
68113132898,ORG SLD BBYSP 5OZ TF,Foreign Objects,Complaint,"Summary of incident10812251 -First Escalation – SM1 & SM4 & wmstorehelp – 8/3/19Customer found a bug in his spinach. Informed to get a refund.Store #, Address, or dotcom, orPhone call/chat/email46Bolivar, Missouri2451 S Springfield AveNames and contact info of individuals and/or organizations involvedCustomer Name: Raffael SenaCustomer Phone: 417-399-7470Customer Email: raffasena2010@hotmail.comLink(s) to relevant social post(s)",190803-023708,,CSR,TFRS196A12A12:16,3-Aug-19,31-Jul-19,8,2019,46,28,,2020,46,BOLIVAR
68113102792,SLD BBY GREENS 6Z TF,Inquiry Product Information,Inquiry,"Customer stated:
She purchased some baby green salad. She wanted to know if it was already washed; the package used to state it was, but no longer does.

Purchased this before?
Yes

Happened before?
No

Resolution:
Advised customer that the salads are pre-washed.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190804-012939,,CSR,143067-01,4-Aug-19,,8,2019,9999,28,,2020,9999,BENTONVILLE
68113108574,ORG SLD SPMIX 16Z TF,Foreign Objects,Complaint,"Customer Stated: he found a vinyl object in his organic MS salad today. He has kept the item.

Purchased this before? yes Happened before? no

Advised customer QA would be notified.
Provided $5 GC #GCR257726
Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------Taylor Farms

A complaint was received by our Customer Connections Team claiming that a foreign object / contaminant has been found or detected in the following product which you supply to Walmart: Marketside salad

Within one (1) business day, overnight a prepaid package to the customer and arrange for the product and contaminant to be returned to the appropriate person within your company. The prepaid package should be large enough to accommodate the product and contaminant without compromising the integrity of the evidence. The customer’s contact information and details of the incident are provided below. We have also attached a form letter to provide along with the prepaid package. If you cannot reach the customer after multiple attempts, please inform Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, that you were not able to contact the customer.
There may be instances in which the customer refuses to return the object - This is considered out of your control; however, you are still expected to notify us of the issue. If you have questions about the customer's contact information, please reply to this email (customerspark@mailmw.custhelp.com).

Once the object is retrieved, we ask that you investigate per your internal procedures and respond to Walmart Food Safety with the following information:
1. The identification and origin of implicated foreign object / contaminant.
2. An explanation of how this occurred within the process.
3. A description of the corrective actions you have implemented to prevent reoccurrence.
4. Has your company had any similar complaints to indicate this is not an isolated incident?

Additionally, please provide us with copies of any analytical results obtained. We expect to receive a summary of your investigation no later than 14 business days from the date of this email.

**PLEASE NOTE** After your investigation is completed, you must do THREE things:
1. Report to Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, the results of your investigation and the answers to the outline questions above.
2. Contact the consumer and share your results.
3. Reply to this email to",190805-009404,,CSR,tfrs201a13a10:11,5-Aug-19,5-Aug-19,8,2019,1071,28,,2020,1071,WOOD RIVER
68113138744,MARKETSIDE CAESAR SALAD KIT,Sensory Complaint,Complaint,Customer stated: Marketside Caesar Salad kit was purchased for the company and it was of poor quality. It ended having the core within it.Advised customer QA would be notified. Advised to return to store.,190805-011549,,CSR,TFMD207A10B10:14,5-Aug-19,8-Aug-19,8,2019,5358,28,,2020,5358,SHIPPENSBURG
68113138807,SLD ROMAINE 18OZ TF Product,Foreign Objects,Complaint,"Marketside romaine salad. Found a large bug. Looked like a bumble bee. It made her sick to her stomach and she vomited and her son also. It ruined the whole meal and she really wants compensation for all of it. Told she would need to do that at the store. She has receipt for it all. She also has pictures.Apologized and advised will send to QA.------------Please find the below information regarding Marketside 18 oz Romaine salad that a customer recently purchased. You will also find the customer’s contact information along with the product information we were able to gather. We have resolved this situation with the customer directly, however if you would like to contact them for further information, please feel free to do so (unless otherwise stated in the notes below). Please look into this issue and respond to our Food Safety Team (FoodSafeCom@Wal-mart.com) for Food products or Product Safety Team (p.bps10@wal-mart.com) for Non-Food products with your resolution in a timely manner.
Should you have any questions or concerns, please reply back to this email (customerspark@mailmw.custhelp.com) with Private Brands in the Subject line.

Thank you for your assistance with this matter.

Sincerely,

Private Brand Customer Connections
Walmart Stores, Inc",190805-028234,,CSR,tfrs206ao 10:45,5-Aug-19,10-Aug-19,8,2019,2575,28,,2020,2575,CONWAY
68113132897,ORG SLD SPRNG 5OZ TF,Product Condition,Complaint,"Customer stated: purchased MS Salad 08/04/19, product smells and is wilted.Purchased before: YesHappened before: NoAdvised customer: QA would be notified. Provided customer with $5 GC, confirmation# GCR257751.Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190805-013115,,CSR,TFMD207D1,5-Aug-19,8-Aug-19,8,2019,3614,28,,2020,3614,ROANOKE
68113109028,MARKETSIDE SPRING MIX SALAD 11OZ,Foreign Objects,Complaint,"Customer stated: Moth was found when washing this itemAdvised customer QA would be notified.Provided customer with $5 GC, confirmation# GCR257756",190805-027272,,CSR,TFRS203815A19:08,5-Aug-19,7-Aug-19,8,2019,788,28,,2020,788,CLINTON
68113116085,SLD BWL APBL 4.8Z TF,Inquiry Product Information,Inquiry,"Private Brand: Marketside Apple Bleu Pecan SaladCustomer stated: The dressing is so good. Have not being able to find the dressing by itself- is it made specifically for this product?Advised customer that it does no appear to be sold separately, it's made for this product. Advised that there are several recipes online too where she could learn how to make different dressing recipes.Offered final assistance, and Survey.",190805-047553,,CSR,TFFLD207JIL 3,5-Aug-19,8-Aug-19,8,2019,9999,28,,2020,9999,BENTONVILLE
68113102781,SLD LEAFY ROM 10Z TF,Claims of Illness from Eating the Food,Complaint,"Customer stated: Marketside romaine lettuce. Ate some with our meal last night and are very sick now.

Purchased this before? Yes Happened before? No

Advised customer QA would be notified. Advised to return to store.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190806-008125,,CSR,TFD207B7-1 09:09 163949-02,6-Aug-19,8-Aug-19,8,2019,184,28,,2020,184,BLUE SPRINGS
68113132946,,Foreign Objects,Complaint,"Customer stated the spinach she purchased has an egg from a bug on it and the leaves are wilted.Advised customer supplier and qa will be notified. Sending $5 gc.GCR257825------------Please find the below information regarding Marketside spinach that a customer recently purchased. You will also find the customer's contact information along with the product information we were able to gather. We have resolved this situation with the customer directly, however if you would like to contact them for further information, please feel free to do so (unless otherwise stated in the notes below).

Please look into this issue and respond to our Food Safety Team at FoodSafeCom@wal-mart.com for Food products or Product Safety Team (p.bps10@wal-mart.com) for Non-Food products with your resolution in a timely manner.

Should you have any questions or concerns, please reply back to this email with Private Brands in the Subject line.

Thank you for your assistance with this matter.

Customer Contact Team",190806-010609,,CSR,efmd204b10a19:29,6-Aug-19,6-Aug-19,8,2019,2129,28,,2020,2129,CLEARFIELD
68113138744,SLD CAESAR TF,Short Volume/Quantity,Complaint,Customer stated he got the MS Cesar Salad Kit and this bag is supposed to be a family size. He stated the bag is suppose to be family size but the greens are the same amount as the individual size. He stated this should have more greens in the bag. I apologized and advised customer I would forward this to our Quality Assurance team to review. Thanked customer for call and offered final assistance Purchased item before no,190806-014434,,CSR,TFRS198B06C 20:00,6-Aug-19,2-Aug-19,8,2019,67,28,,2020,67,MENA
68113102783,SLD HRTS ROM 10Z TF,Foreign Objects,Complaint,"Summary of incident10871480 +10876890 – wmStore + SM1 – 08/04/19The customer found a fly in their bag of lettuce.Store #, City and State of incident (if applicable)York, PA# 2801Names and contact info of individuals and/or organizations involvedCustomer Name: Stephanie E KrouchCustomer Phone: 717-254-9771Customer Email: stephanie.krouch@gmail.comSocial Profile: https://www.facebook.com/stephanie.longabaughProduct DetailsProduct Name: Marketside Hearts of RomainePurchase Date: 07/29/19Purchase location: York, PA – Store # 2801UPC: 6 81131 02783 0Lot #: 456344
Im",190806-021018,,CSR,"TFMX204A08 AE08-L,4-A",6-Aug-19,8-Aug-19,8,2019,2801,28,,2020,2801,ALBANY
68113114834,"Marketside Sunflower Bacon Crunch Chopped Salad Kit, 13.4 oz",Short Volume/Quantity,Complaint,"Customer Stated she got a chopped salad and there was no packet with the toppings or dressing in it.

Advised customer sending to quality, she can take it back to the store for a refund or exchange on the item.

Purchased item before Yes",190806-022674,,CSR,TFRF203A05A09:21,6-Aug-19,7-Aug-19,8,2019,2745,28,,2020,2745,FAYETTEVILLE
68113132946,SLD SPINACH 10OZ TF,Foreign Objects,Complaint,"Customer stated: she bought a ms fresh spinach she said it looks like plastic.

Advised customer:We appreciate you contacting us and bringing that to our attention. I will advise the QA department and Supplier about what you said. I will inform food safety as well.

Pushback: Provided Gift Card $5 #: GCR257844)

Offered final assistance and said closing.

------------TAYLOR FARMS PACIFIC INC

A complaint was received by our Customer Connections Team claiming that a foreign object / contaminant has been found or detected in the following product which you supply to Walmart: SLD SPINACH 10OZ TF

Within one (1) business day, overnight a prepaid package to the customer and arrange for the product and contaminant to be returned to the appropriate person within your company. The prepaid package should be large enough to accommodate the product and contaminant without compromising the integrity of the evidence. The customer’s contact information and details of the incident are provided below. We have also attached a form letter to provide along with the prepaid package. If you cannot reach the customer after multiple attempts, please inform Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, that you were not able to contact the customer.
There may be instances in which the customer refuses to return the object - This is considered out of your control; however, you are still expected to notify us of the issue. If you have questions about the customer's contact information, please reply to this email (customerspark@mailmw.custhelp.com).

Once the object is retrieved, we ask that you investigate per your internal procedures and respond to Walmart Food Safety with the following information:
1. The identification and origin of implicated foreign object / contaminant.
2. An explanation of how this occurred within the process.
3. A description of the corrective actions you have implemented to prevent reoccurrence.
4. Has your company had any similar complaints to indicate this is not an isolated incident?

Additionally, please provide us with copies of any analytical results obtained. We expect to receive a summary of your investigation no later than 14 business days from the date of this email.

**PLEASE NOTE** After your investigation is completed, you must do THREE things:
1. Report to Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, the results of your investigation and the answers to the outline questions above.
2. Contact the consumer and share your results.
3. Reply to this email to confirm resolution.

If this incident results in any cla",190806-022034,,CSR,TFT 1962PF 19:12:24,6-Aug-19,30-Jul-19,8,2019,1075,28,,2020,1075,CLARKSVILLE
68113118006,APPLE/SLICED/GRN 32Z,Foreign Objects,Complaint,"Customer stated: GV apple slices had a hair in it like a hair off a beard. The customer has his receipt and will return it to the store for an exchange. Just wanted to let us know.Purchased this before? YesHappened before?NoAdvised customer QA would be notified. Advised to return to store and speak to a SMOM.Apologized for experience. Offered final assistance, survey, and advised always happy to help.finish------------Please find the below information regarding APPLE/SLICED/GRN 32Z that a customer recently purchased. You will also find the customer’s contact information along with the product information we were able to gather. We have resolved this situation with the customer directly, however if you would like to contact them for further information, please feel free to do so (unless otherwise stated in the notes below). Please look into this issue and respond to our Food Safety Team (FoodSafeCom@Wal-mart.com) for Food products or Product Safety Team (p.bps10@wal-mart.com) for Non-Food products with your resolution in a timely manner.
Should you have any questions or concerns, please reply back to this email (customerspark@mailmw.custhelp.com) with Private Brands in the Subject line.

Thank you for your assistance with this matter.

Sincerely,

Private Brand Customer Connections
Walmart Stores, Inc",190806-039864,,CSR,63004 TFT210,6-Aug-19,4-Aug-19,8,2019,3362,28,,2020,3362,OAK GROVE
68113191697,MKS CHEF SALAD,Claims of Illness from Eating the Food,Complaint,Customer stated she got 2 MS Chef Salads and they made her sick. She stated her and her husband eat ate a salad last night and she got sick this morning but she does not think her husband got sick this morning. I apologized and advised customer I would forward this to our Quality Assurance team to review. Thanked customer for call and offered final assistance Purchased item before Yes Provided $ 10/Gift Card Requst Successful for Request #: GCR257898),190807-005769,,CSR,TFNJ209,7-Aug-19,6-Aug-18,8,2019,1335,28,,2020,1335,LEXINGTON
68113122152,SLD CHP AVRNH TF,Compliment Sensory,Compliment,"Customer stated: loves the Marketside salad kits and the are wonderful and she has one every night. Loves the variety we have and suggestion. The packaging needs to say ready to eat and washed also on it.Purchased this before? YesAdvised customer QA would be notified.Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190807-010905,,CSR,TFFL207ACU3B 23:12:00,7-Aug-19,8-Aug-19,8,2019,5132,28,,2020,5132,WINTER SPRINGS
68113191698,MKS CAESAR SALAD,Product Condition,Complaint,"Marketside Chicken Caesar Salad, 14.5 ozCustomer stated: Multiple white chunks of the lettuce core that takes up about 1 cup of the salad and these pieces are inedible. Customer states that she is disappointed that this is occurring throughout all of the salads that she has purchased and it isn't just one batch or one container.
Purchased this before? Yes
Happened before? Yes


Advised customer QA would be notified. Advised to return to store for a refund or an exchange.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190807-013928,,CSR,,7-Aug-19,,8,2019,3404,28,,2020,3404,ROSEVILLE
68113109301,MKS FARMHOUSE SLD,Product Condition,Complaint,"MKS Farmhouse Ranch Salad - the tomatoes were not good, they are supposed to be firm, but these were mushy.No exp. date found on the item.Advised of the 100% satisfaction guarantee. Advised that we will send this up to the QA team for investigation. Sent to Food Safety.

Gift Card Requst Successful for $10Request #: GCR257917",190807-017034,,CSR,TFD206,7-Aug-19,,8,2019,269,28,,2020,269,LAWTON
68113127656,"Marketside Spinach & Bacon Salad Kit, 5.8 oz",Product Condition,Complaint,"Customer stated: Marketside spinach and it was slimy. Giving you guys a call about that since I was not satisfied.

Advised: We do 100 satisfaction guarantee on all our marketside products and you can take that back and get an exchange or refund.

Advised QA will be notified

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190807-011332,,CSR,TFT2072PF 22:21:36,7-Aug-19,8-Aug-19,8,2019,690,28,,2020,690,ELIZABETHTON
68113114834,"Marketside Sunflower Bacon Crunch Chopped Salad Kit, 13.4 oz",Inquiry Product Information,Inquiry,"MKS Salad Kit - greens have an expiration date and have been only saving the dressing. is the expiration date for the dressing the same as the greens?Advised we can send to the supplier for inquiry.------------Please find the below information regarding Marketside Sunflower Bacon Crunch Chopped Salad Kit, 13.4 oz that a customer recently purchased. Please reply to this email (do not contact the customer) with the requested information or if you have any questions. Once we have received your response, our team will follow-up with the customer accordingly.

Thank you for your assistance with this matter.

Customer Contact Team",190807-021688,,CSR,,7-Aug-19,,8,2019,530,28,,2020,530,EL DORADO
68113122132,SLD CHP KLCR 9.2Z,Product Condition,Complaint,"Customer stated:We love them!The pecans and kale missing are not in there, like its all the trash at the end of line!Yes, happened before!Apologized Condition.Purchased before YesFirst time occurred No, second past month.Informed Customer: FWD to QA for reviewWe appreciate you contacting us and bringing this to our attention. We have high quality expectations and we will advise the quality department the item did not meet expectations. We have a 100% satisfaction guarantee.Provided Courtesy Gift Card $5 GCR257949",190807-030289,,CSR,07 B0C18,7-Aug-19,20-Aug-19,8,2019,952,28,,2020,952,MOULTRIE
68113114832,SLD CHP CSR HM,Product Condition,Complaint,"Customer Stated: Purchased a bag of salad, 8/10/2019. Has not reached expiration date. The greens have since turned pink, had to throw out remaining contents.Purchased Before? Yes, first time with issue.Resolution: Advised customer that our QA team would be notified. Directed to store for exchange, but customer is unable to make trip. Will issue GC reimbursement.Issued $5 GC, Conf#- GCR257955Advised customer always happy to help. Offered any final assistance and survey.",190807-025828,,CSR,TFRF206B04B20:47,7-Aug-19,10-Aug-19,8,2019,2861,28,,2020,2861,BOISE
68113138749,SLD ANGL SLW 10Z TF,Product Condition,Complaint,"Customer stated: MS angel hair coleslaw. She stats that shredded cabbage is not coleslaw.
Customer stats there was not a rider for her at her local Walmart. Stated that she bought a Watermelon before and it was not good. Wants us to change labels.
Advised customer QA would be notified.


Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190807-052053,,CSR,TEMX206A05 AE03-L 18-1,7-Aug-19,10-Aug-19,8,2019,680,28,,2020,680,GREENEVILLE
68113114832,SLD CHP CSR TF,Product Condition,Complaint,"Customer stated: purchased MS Caesar Salad Kit, only lettuce in the product.

Purchased this before? No

Happened before? No

Advised customer QA would be notified. Advised to return to store. 

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190807-057469,,CSR,,7-Aug-19,,8,2019,3988,28,,2020,3988,SPANISH FORK
68113102790,SLD BBY SPIN 6Z TF,Inquiry Product Information,Inquiry,"Customer stated: Marketside Salad, wants to know if it is pre-washed.

Purchased this before? No

Advised customer that our Marketside salad mixes are all prewashed and ready to eat. 
Offered final assistance, survey, and advised always happy to help.",190808-049066,,CSR,,8-Aug-19,,8,2019,3220,28,,2020,3220,ST GEORGE
